INFO:root:Starting crawling
DEBUG|2017-09-14 12:52:47,449|File Contents-source.gz
DEBUG|2017-09-14 12:52:47,478|File Contents-sparc.gz
DEBUG|2017-09-14 12:52:47,501|File Contents-udeb-amd64.gz
DEBUG|2017-09-14 12:52:47,521|File Contents-udeb-armel.gz
DEBUG|2017-09-14 12:52:47,543|File Contents-udeb-armhf.gz
DEBUG|2017-09-14 12:52:47,563|File Contents-udeb-i386.gz
DEBUG|2017-09-14 12:52:47,583|File Contents-udeb-ia64.gz
DEBUG|2017-09-14 12:52:47,603|File Contents-udeb-kfreebsd-amd64.gz
DEBUG|2017-09-14 12:52:47,623|File Contents-udeb-kfreebsd-i386.gz
DEBUG|2017-09-14 12:52:47,642|File Contents-udeb-mips.gz
DEBUG|2017-09-14 12:52:47,662|File Contents-udeb-mipsel.gz
DEBUG|2017-09-14 12:52:47,683|File Contents-udeb-powerpc.gz
DEBUG|2017-09-14 12:52:47,703|File Contents-udeb-s390.gz
DEBUG|2017-09-14 12:52:47,723|File Contents-udeb-s390x.gz
DEBUG|2017-09-14 12:52:47,743|File Contents-udeb-sparc.gz
DEBUG|2017-09-14 12:52:47,768|Folder binary-all
DEBUG|2017-09-14 12:52:47,788|Folder binary-amd64
DEBUG|2017-09-14 12:52:47,811|Folder binary-armel
DEBUG|2017-09-14 12:52:47,833|Folder binary-armhf
DEBUG|2017-09-14 12:52:47,859|Folder binary-i386
DEBUG|2017-09-14 12:52:47,880|Folder binary-ia64
DEBUG|2017-09-14 12:52:47,898|Folder binary-kfreebsd-amd64
DEBUG|2017-09-14 12:52:47,920|Folder binary-kfreebsd-i386
DEBUG|2017-09-14 12:52:47,938|Folder binary-mips
DEBUG|2017-09-14 12:52:47,959|Folder binary-mipsel
DEBUG|2017-09-14 12:52:47,983|Folder binary-powerpc
DEBUG|2017-09-14 12:52:48,004|Folder binary-s390
DEBUG|2017-09-14 12:52:48,023|Folder binary-s390x
DEBUG|2017-09-14 12:52:48,043|Folder binary-sparc
DEBUG|2017-09-14 12:52:48,064|Folder by-hash
DEBUG|2017-09-14 12:52:48,084|Folder debian-installer
DEBUG|2017-09-14 12:52:48,109|Folder i18n
DEBUG|2017-09-14 12:52:48,129|Folder source
DEBUG|2017-09-14 12:52:48,129|Entering folder 	binary-all
DEBUG|2017-09-14 12:52:48,272|File Packages.bz2
DEBUG|2017-09-14 12:52:48,293|File Packages.gz
DEBUG|2017-09-14 12:52:48,313|File Release
DEBUG|2017-09-14 12:52:48,339|Folder by-hash
DEBUG|2017-09-14 12:52:48,339|Entering folder 	by-hash
DEBUG|2017-09-14 12:52:48,490|Folder MD5Sum
DEBUG|2017-09-14 12:52:48,518|Folder SHA1
DEBUG|2017-09-14 12:52:48,539|Folder SHA256
DEBUG|2017-09-14 12:52:48,539|Entering folder 	MD5Sum
DEBUG|2017-09-14 12:52:48,684|File 076513d150a727d1ed7c353f0122466e
DEBUG|2017-09-14 12:52:48,703|File 0d65603a4bbedf54ef026800993bc569
DEBUG|2017-09-14 12:52:48,723|File bfdb3d8c55c2388e5e8ec8ab534f715e
DEBUG|2017-09-14 12:52:48,724|Entering folder 	SHA1
DEBUG|2017-09-14 12:52:48,860|File 50900c98eec1792d44086a47fd13004c4dcae058
DEBUG|2017-09-14 12:52:48,884|File 5322b7724f069800b947bd413c2b54a0183612b6
DEBUG|2017-09-14 12:52:48,908|File 6c95a8e135dd03557dfe2f2c913b66402b18e4b3
DEBUG|2017-09-14 12:52:48,909|Entering folder 	SHA256
